,date,open,high,low,close,volume,datetime,MACD,Trend,200EMA,STOCHRSIk,STOCHRSId,BandWidth,BuySignal,SellSignal
33,1660383900000,24515.07,24573.31,24508.89,24573.31,15.137186,2022-08-13 09:45:00,28.878240649961498,Below,24505.39483584915,98.6457752140032,97.91978299258534,0.5056125528362803,True,False
34,1660384200000,24573.26,24638.96,24556.2,24620.35,48.406221,2022-08-13 09:50:00,32.9491759821003,Below,24526.295774785667,100.0,99.09718347600214,0.740323445462104,True,False
35,1660384500000,24640.43,24654.75,24590.81,24597.68,28.652711,2022-08-13 09:55:00,32.90083566576722,Below,24539.274724824634,96.92601599446387,98.52393040282236,0.7449380544926288,True,False
36,1660384800000,24598.87,24615.64,24564.99,24583.69,20.57189,2022-08-13 10:00:00,30.752096918157186,Below,24547.35022940197,92.04243708408349,96.32281769284911,0.5728779024498503,True,False
37,1660385100000,24584.85,24594.3,24506.22,24509.32,38.457535,2022-08-13 10:05:00,23.47610877038411,Below,24540.43564223797,79.31836559134165,89.42893955662966,0.6066080188189377,False,False
38,1660385400000,24504.58,24536.9,24453.5,24473.73,31.126189,2022-08-13 10:10:00,15.789221553853324,Below,24528.30734364925,66.37993880372143,79.24691382638218,0.9094767298075498,False,False
39,1660385700000,24480.41,24490.17,24427.47,24458.2,19.724905,2022-08-13 10:15:00,9.491945597763099,Below,24515.560553894837,48.90970286574419,64.86933575360241,0.9244442270188463,False,False
40,1660386000000,24450.36,24493.75,24442.24,24479.36,17.055046,2022-08-13 10:20:00,6.715600691280088,Below,24508.978635004867,38.22980875702341,51.173150142163,0.7283113043640401,False,False
41,1660386300000,24482.16,24488.87,24460.0,24477.1,5.548462,2022-08-13 10:25:00,4.781731843595484,Below,24503.182519549435,26.0891369850555,37.74288286927436,0.2716586482610337,False,False
42,1660386600000,24479.12,24547.73,24479.12,24530.83,34.400411,2022-08-13 10:30:00,7.039539731686823,Below,24508.20933417681,31.487267408122666,31.93540438340052,0.40238747792694624,False,False
